Test,ID,Trial_Num,Hand_Prediction,Hand_Latency,Body_Prediction,Body_Latency,FamTrialLength_ms,Fam_Distracter,Fam_Goal,Fam_Hand,Fam_Screen,TestTrialLength_ms,Test_Body,Test_Distracter,Test_Goal,Test_Hand,Test_Screen
Test3,M20,6,NA,NA,NA,NA,NA,NA,256.6,NA,382.90000000000003,NA,NA,NA,NA,NA,NA
Test3,M20,7,No Prediction,NA,No Prediction,NA,8917.0,2021.9999999999998,503.4,63.1,2588.5,8500.0,NA,NA,325.1,NA,325.1
Test3,M20,8,No Prediction,NA,No Prediction,NA,9167.0,NA,2531.2000000000003,NA,2531.2000000000003,8417.0,NA,122.7,63.2,NA,185.79999999999998
Test3,M21,1,Goal,738.0,Goal,362.0,9118.0,139.6,418.6,1038.5,2298.0,4412.0,979.8,NA,1273.7,238.3,2773.6
Test3,M21,2,No Prediction,NA,No Prediction,NA,9216.0,1281.1999999999998,3871.9,1038.6,6826.8,3824.0,239.1,NA,265.0,NA,504.09999999999997
Test3,M21,3,No Prediction,NA,No Prediction,NA,9118.0,1634.8,1216.6,597.9,4350.9000000000005,6176.0,NA,NA,370.0,NA,370.0
Test3,M21,4,No Prediction,NA,Goal,817.0,9118.0,560.8,978.7,316.8,2095.6,2941.0,231.3,NA,320.1,111.60000000000001,551.4
Test3,M21,5,No Prediction,NA,Distracter,578.0,9020.0,NA,806.5,NA,806.5,2157.0,159.39999999999998,631.1,NA,NA,790.5
Test3,M21,6,Goal,535.0,Goal,535.0,9314.0,NA,1654.1999999999998,556.6999999999999,2886.5,7451.0,237.7,NA,301.4,237.7,539.1
Test3,M21,7,Distracter,299.0,Distracter,299.0,9314.0,458.4,5265.3,242.79999999999998,6425.5,1275.0,159.6,617.7,NA,159.6,777.3
Test3,M21,8,No Prediction,NA,No Prediction,NA,9020.0,99.7,2314.9,435.3,3478.4,2549.0,60.1,62.0,159.39999999999998,60.1,281.5
Test3,M23,4,Distracter,239.0,Distracter,239.0,9184.0,996.9,955.5,308.5,3160.8999999999996,1429.0,299.4,339.0,NA,299.4,638.4
Test3,M23,5,No Prediction,NA,Goal,160.0,9184.0,518.3,3564.5,396.5,4935.1,816.0,79.8,NA,114.9,NA,194.70000000000002
Test3,M23,6,No Prediction,NA,Goal,538.0,9082.0,1094.8,3107.1,502.4,4996.8,1020.0,219.4,NA,255.2,NA,474.6
Test3,M23,7,Distracter,260.0,Goal,339.0,8980.0,458.5,3965.9,716.4000000000001,5807.8,2755.0,638.2,227.3,522.5,139.5,1388.0
Test3,M23,8,Goal,1834.0,Goal,3728.0,9082.0,676.2,4093.2000000000003,NA,6309.3,4898.0,2482.8,NA,461.3,1256.2,2944.2
Test3,M24,1,Distracter,977.0,Goal,1077.0,9e3,NA,677.9,159.3,837.2,4200.0,201.6,119.6,79.69999999999999,101.9,400.9
Test3,M24,2,NA,NA,NA,NA,NA,119.5,875.9,518.5,1713.3,NA,NA,NA,NA,NA,NA
